Cluster,Companies
0,MOTHERSUMI.NS
0,EICHERMOT.NS
0,BOSCHLTD.NS
0,MRF.NS
0,MARUTI.NS
0,M&M.NS
0,HEROMOTOCO.NS
0,TATAMOTORS.NS
0,BAJAJ-AUTO.NS
1,GRASIM.NS
1,ULTRACEMCO.NS
1,AMBUJACEM.NS
1,ACC.NS
2,PIDILITIND.NS
3,DLF.NS
3,LT.NS
4,HINDUNILVR.NS
4,MARICO.NS
4,DABUR.NS
4,COLPAL.NS
4,BRITANNIA.NS
4,BERGEPAINT.NS
4,PGHH.NS
4,ASIANPAINT.NS
4,GODREJCP.NS
4,TITAN.NS
4,HAVELLS.NS
5,NAUKRI.NS
6,UPL.NS
7,SBIN.NS
7,PNB.NS
7,ICICIBANK.NS
7,KOTAKBANK.NS
7,INDUSINDBK.NS
7,HDFCBANK.NS
7,AXISBANK.NS
7,YESBANK.NS
8,APOLLOHOSP.NS
9,PEL.NS
9,BAJAJFINSV.NS
9,BAJAJHLDNG.NS
9,HDFC.NS
9,BAJFINANCE.NS
10,TCS.NS
10,INFY.NS
10,WIPRO.NS
10,TECHM.NS
10,HCLTECH.NS
11,VEDL.NS
11,JSWSTEEL.NS
11,TATASTEEL.NS
11,HINDALCO.NS
11,ADANIENT.NS
12,HINDPETRO.NS
12,BPCL.NS
12,IOC.NS
12,GAIL.NS
12,ONGC.NS
12,IGL.NS
12,PETRONET.NS
12,RELIANCE.NS
13,SIEMENS.NS
13,AUROPHARMA.NS
13,DRREDDY.NS
13,SUNPHARMA.NS
13,DIVISLAB.NS
13,CIPLA.NS
13,CADILAHC.NS
13,BIOCON.NS
13,TORNTPHARM.NS
13,LUPIN.NS
14,POWERGRID.NS
14,NTPC.NS
15,ADANIPORTS.NS
16,BHARTIARTL.NS
